Ticker,Description,Sector,Industry,Market Capitalization
THRY,"Thryv Holdings, Inc.",Commercial Services,Advertising/Marketing Services,992596263
BAOS,Baosheng Media Group Holdings Limited,Commercial Services,Advertising/Marketing Services,54425059
NLSN,Nielsen N.V.,Commercial Services,Advertising/Marketing Services,7075539124
NCPL,NETCAPITAL INC.,Commercial Services,Advertising/Marketing Services,30173942.00000001
IDW,IDW Media Holdings,Commercial Services,Advertising/Marketing Services,40967631
ICLK,iClick Interactive Asia Group Limited,Commercial Services,Advertising/Marketing Services,557816541
OMC,Omnicom Group Inc.,Commercial Services,Advertising/Marketing Services,16022688110
RTX,Raytheon Technologies Corporation,Electronic Technology,Aerospace & Defense,131426667152.99995
ASTC,Astrotech Corporation,Electronic Technology,Aerospace & Defense,50439568
LHX,"L3Harris Technologies, Inc.",Electronic Technology,Aerospace & Defense,44908900694.00001
NOC,Northrop Grumman Corporation,Electronic Technology,Aerospace & Defense,56950814374
ASDN,Astro Aerospace Ltd.,Electronic Technology,Aerospace & Defense,18784264
HWM,Howmet Aerospace Inc.,Electronic Technology,Aerospace & Defense,13523601990
BA,Boeing Company (The),Electronic Technology,Aerospace & Defense,129768158924
UAVS,"AgEagle Aerial Systems, Inc.",Electronic Technology,Aerospace & Defense,233703115
ESE,ESCO Technologies Inc.,Electronic Technology,Aerospace & Defense,1999172416.0000005
TATT,TAT Technologies Ltd.,Electronic Technology,Aerospace & Defense,51199875
POWW,"AMMO, Inc.",Electronic Technology,Aerospace & Defense,713630705
KAMN,Kaman Corporation,Electronic Technology,Aerospace & Defense,968996510
HXL,Hexcel Corporation,Electronic Technology,Aerospace & Defense,5036824928.000001
CW,Curtiss-Wright Corporation,Electronic Technology,Aerospace & Defense,5112544184.000001
USDR,UAS Drone Corp.,Electronic Technology,Aerospace & Defense,18906585
SPCE,"Virgin Galactic Holdings, Inc.",Electronic Technology,Aerospace & Defense,6441811512.000001
ISSC,"Innovative Solutions and Support, Inc.",Electronic Technology,Aerospace & Defense,122449228
HEI,Heico Corporation,Electronic Technology,Aerospace & Defense,17066171491.000002
COMS,ComSovereign Holding Corp.,Electronic Technology,Aerospace & Defense,134187627
TXT,Textron Inc.,Electronic Technology,Aerospace & Defense,15931727316
MOG.A,Moog Inc.,Electronic Technology,Aerospace & Defense,2473606859
AIRI,Air Industries Group,Electronic Technology,Aerospace & Defense,35606059
BYRN,"Byrna Technologies, Inc.",Electronic Technology,Aerospace & Defense,524857200
AVAV,"AeroVironment, Inc.",Electronic Technology,Aerospace & Defense,2089619787.0000005
MACE,"Mace Security International, Inc.",Electronic Technology,Aerospace & Defense,17978530
RADA,RADA Electronic Industries Ltd.,Electronic Technology,Aerospace & Defense,524053746.00000006
ASTR,"Astra Space, Inc.",Electronic Technology,Aerospace & Defense,2402084820
BUKS,Butler National Corp.,Electronic Technology,Aerospace & Defense,46765072.00000001
HII,"Huntington Ingalls Industries, Inc.",Electronic Technology,Aerospace & Defense,7842284888.999999
AIR,AAR Corp.,Electronic Technology,Aerospace & Defense,1167148338
DCO,Ducommun Incorporated,Electronic Technology,Aerospace & Defense,606267605
PKE,Park Aerospace Corp.,Electronic Technology,Aerospace & Defense,281912469.99999994
SSTI,"ShotSpotter, Inc.",Electronic Technology,Aerospace & Defense,429406077.99999994
LMT,Lockheed Martin Corporation,Electronic Technology,Aerospace & Defense,96787853403
AXON,"Axon Enterprise, Inc.",Electronic Technology,Aerospace & Defense,11805205223
SPR,"Spirit Aerosystems Holdings, Inc.",Electronic Technology,Aerospace & Defense,4488143713.000001
AERG,"Applied Energetics, Inc.",Electronic Technology,Aerospace & Defense,326180927.99999994
TGI,"Triumph Group, Inc.",Electronic Technology,Aerospace & Defense,1171850298.9999998
CODA,"Coda Octopus Group, Inc.",Electronic Technology,Aerospace & Defense,97280467
MSI,"Motorola Solutions, Inc.",Electronic Technology,Aerospace & Defense,40768284718
LILM,Lilium N.V.,Electronic Technology,Aerospace & Defense,2781354783.0000005
KTOS,"Kratos Defense & Security Solutions, Inc.",Electronic Technology,Aerospace & Defense,2821273694
SWBI,"Smith & Wesson Brands, Inc.",Electronic Technology,Aerospace & Defense,1037964789
SIF,"SIFCO Industries, Inc.",Electronic Technology,Aerospace & Defense,58423955
MAGS,Magal Security Systems Ltd.,Electronic Technology,Aerospace & Defense,93172819.99999999
ATRO,Astronics Corporation,Electronic Technology,Aerospace & Defense,435800219.00000006
GD,General Dynamics Corporation,Electronic Technology,Aerospace & Defense,55187065115
CVU,"CPI Aerostructures, Inc.",Electronic Technology,Aerospace & Defense,32532566.00000001
TDY,Teledyne Technologies Incorporated,Electronic Technology,Aerospace & Defense,20203511859
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Electronic Technology,Aerospace & Defense,3425314308
TDG,Transdigm Group Inc.,Electronic Technology,Aerospace & Defense,35515554026
TIKK,Tel-Instrument Electronics Corp.,Electronic Technology,Aerospace & Defense,10386280
SEED,Origin Agritech Limited,Process Industries,Agricultural Commodities/Milling,45269578
ANDE,"The Andersons, Inc.",Process Industries,Agricultural Commodities/Milling,1003807710.0000002
TYHT,"Shineco, Inc.",Process Industries,Agricultural Commodities/Milling,88509041
PHCG,"Pure Harvest Corporate Group, Inc",Process Industries,Agricultural Commodities/Milling,20794962
AVO,"Mission Produce, Inc.",Process Industries,Agricultural Commodities/Milling,1366293500
LMNR,Limoneira Co,Process Industries,Agricultural Commodities/Milling,271294039
YEWB,"Yew Bio-Pharm Group, Inc.",Process Industries,Agricultural Commodities/Milling,8054860
VITL,"Vital Farms, Inc.",Process Industries,Agricultural Commodities/Milling,726966150
GRYN,Green Hygienics Holdings Inc.,Process Industries,Agricultural Commodities/Milling,72808125
KGKG,KONA GOLD BEVERAGE INC.,Process Industries,Agricultural Commodities/Milling,15797189
UNRV,"Unrivaled Brands, Inc.",Process Industries,Agricultural Commodities/Milling,123704166
URYL,United Royale Holdings Corp.,Process Industries,Agricultural Commodities/Milling,113592001.03225806
STMH,"Stem Holdings, Inc.",Process Industries,Agricultural Commodities/Milling,57436444
OWPC,One World Pharma Inc.,Process Industries,Agricultural Commodities/Milling,8211817
NBIO,Nascent Biotech Inc.,Process Industries,Agricultural Commodities/Milling,7395908
MGPI,"MGP Ingredients, Inc.",Process Industries,Agricultural Commodities/Milling,1439620412
BG,Bunge Limited Bunge Limited,Process Industries,Agricultural Commodities/Milling,11140785003.999998
CRYM,Cryomass Technologies Inc.,Process Industries,Agricultural Commodities/Milling,25531137
ENRT,Enertopia Corp,Process Industries,Agricultural Commodities/Milling,8731629
MRMD,MariMed Inc.,Process Industries,Agricultural Commodities/Milling,312715164.00000006
APPH,"AppHarvest, Inc.",Process Industries,Agricultural Commodities/Milling,668886530
KAYS,"Kaya Holdings, Inc.",Process Industries,Agricultural Commodities/Milling,2551737
CVSI,"CV Sciences, Inc.",Process Industries,Agricultural Commodities/Milling,28344859
TLRY,"Tilray, Inc. - Class 2",Process Industries,Agricultural Commodities/Milling,5242407064
INGR,Ingredion Incorporated,Process Industries,Agricultural Commodities/Milling,5935364440
SHWZ,Medicine Man Technologies Inc.,Process Industries,Agricultural Commodities/Milling,83959094
BUDZ,"WEED, Inc.",Process Industries,Agricultural Commodities/Milling,35297307
ELAN,Elanco Animal Health Incorporated,Process Industries,Agricultural Commodities/Milling,15434614864.999998
AGRO,Adecoagro S.A.,Process Industries,Agricultural Commodities/Milling,1082700191
VFRM,Veritas Farms Inc.,Process Industries,Agricultural Commodities/Milling,4851271.71428571
SNDL,Sundial Growers Inc.,Process Industries,Agricultural Commodities/Milling,1386379955.0000002
SANW,S&W Seed Company,Process Industries,Agricultural Commodities/Milling,111282892.99999999
ALCO,"Alico, Inc.",Process Industries,Agricultural Commodities/Milling,259496608.99999997
BARK,The Original BARK Company,Process Industries,Agricultural Commodities/Milling,1270778416
MJNE,"MJ Holdings, Inc.",Process Industries,Agricultural Commodities/Milling,29035500
DAR,Darling Ingredients Inc.,Process Industries,Agricultural Commodities/Milling,11879716373
ADM,Archer-Daniels-Midland Company,Process Industries,Agricultural Commodities/Milling,33205454857.999996
OGAA,Organic Agricultural Company Limited,Process Industries,Agricultural Commodities/Milling,7689935.45576408
RLGT,"Radiant Logistics, Inc.",Transportation,Air Freight/Couriers,327469054
STCN,"Steel Connect, Inc. Common Stock",Transportation,Air Freight/Couriers,126823751.00000001
AAWW,Atlas Air Worldwide Holdings,Transportation,Air Freight/Couriers,2278453636
PSHG,Performance Shipping Inc.,Transportation,Air Freight/Couriers,25261147.00000001
CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,Air Freight/Couriers,11657806939
AIRT,"Air T, Inc.",Transportation,Air Freight/Couriers,95072338.99999999
EXPD,"Expeditors International of Washington, Inc.",Transportation,Air Freight/Couriers,21183729038
FWRD,Forward Air Corporation,Transportation,Air Freight/Couriers,2349874747
YMM,Full Truck Alliance Co. Ltd.,Transportation,Air Freight/Couriers,17525548973
UPS,"United Parcel Service, Inc.",Transportation,Air Freight/Couriers,163773370352
HUBG,"Hub Group, Inc.",Transportation,Air Freight/Couriers,2405668534
FDX,FedEx Corporation,Transportation,Air Freight/Couriers,60206928288.00001
BEST,BEST Inc.,Transportation,Air Freight/Couriers,714320805
CYRX,"CryoPort, Inc.",Transportation,Air Freight/Couriers,3181073154
GXO,"GXO Logistics, Inc.",Transportation,Air Freight/Couriers,9189586350
ULCC,"Frontier Group Holdings, Inc.",Transportation,Airlines,3399753219
JBLU,JetBlue Airways Corporation,Transportation,Airlines,5002488365
BLDE,"Blade Air Mobility, Inc.",Transportation,Airlines,807443938.0000001
ATSG,"Air Transport Services Group, Inc",Transportation,Airlines,1867684789
ALGT,Allegiant Travel Company,Transportation,Airlines,3721768082
SAVE,"Spirit Airlines, Inc.",Transportation,Airlines,2896497300
ALK,"Alaska Air Group, Inc.",Transportation,Airlines,7612897128
DAL,"Delta Air Lines, Inc.",Transportation,Airlines,27855492899.000004
UP,Wheels Up Experience Inc.,Transportation,Airlines,1741216235.0000002
LUV,Southwest Airlines Company,Transportation,Airlines,31268415799.000004
SNCY,"Sun Country Airlines Holdings, Inc.",Transportation,Airlines,2046844895
AZUL,Azul S.A.,Transportation,Airlines,2500505449.96749
SKYW,"SkyWest, Inc.",Transportation,Airlines,2522515942
UAL,"United Airlines Holdings, Inc.",Transportation,Airlines,15789072932
MESA,"Mesa Air Group, Inc.",Transportation,Airlines,284615826.00000006
HA,"Hawaiian Holdings, Inc.",Transportation,Airlines,1128118666
CPA,"Copa Holdings, S.A. Copa Holdings, S.A.",Transportation,Airlines,3568654925
AAL,"American Airlines Group, Inc.",Transportation,Airlines,13849122475
BIP,Brookfield Infrastructure Partners LP Limited Partnership,Utilities,Alternative Power Generation,23323774316.999996
AZRE,Azure Power Global Limited,Utilities,Alternative Power Generation,987685772.0000002
AY,Atlantica Sustainable Infrastructure plc,Utilities,Alternative Power Generation,3963395267
MAXN,"Maxeon Solar Technologies, Ltd.",Utilities,Alternative Power Generation,837966735
RUN,Sunrun Inc.,Utilities,Alternative Power Generation,8859233758
CWEN,"Clearway Energy, Inc.",Utilities,Alternative Power Generation,6346395539
ELLO,Ellomay Capital Ltd,Utilities,Alternative Power Generation,332669551
ORA,"Ormat Technologies, Inc.",Utilities,Alternative Power Generation,3813423264
NEP,"NextEra Energy Partners, LP",Utilities,Alternative Power Generation,5999299853.000001
RNW,ReNew Energy Global plc,Utilities,Alternative Power Generation,3072150052
KALU,Kaiser Aluminum Corporation,Non-Energy Minerals,Aluminum,1733319782
AA,Alcoa Corporation,Non-Energy Minerals,Aluminum,9061139922
CENX,Century Aluminum Company,Non-Energy Minerals,Aluminum,1233867613
ARNC,Arconic Corporation,Non-Energy Minerals,Aluminum,3404907784
FIGS,"FIGS, Inc.",Consumer Non-Durables,Apparel/Footwear,6170928147
ONON,On Holding AG,Consumer Non-Durables,Apparel/Footwear,11180289801
NAKD,Naked Brand Group Limited,Consumer Non-Durables,Apparel/Footwear,620002475
DLA,"Delta Apparel, Inc.",Consumer Non-Durables,Apparel/Footwear,194314030
TBLT,"ToughBuilt Industries, Inc.",Consumer Non-Durables,Apparel/Footwear,66473180.99999999
OXM,"Oxford Industries, Inc.",Consumer Non-Durables,Apparel/Footwear,1514139218
KBSF,KBS Fashion Group Limited,Consumer Non-Durables,Apparel/Footwear,13207808
BLEG,BRANDED LEGACY INC.,Consumer Non-Durables,Apparel/Footwear,104241
GES,"Guess?, Inc.",Consumer Non-Durables,Apparel/Footwear,1441389447.9999998
SHOO,"Steven Madden, Ltd.",Consumer Non-Durables,Apparel/Footwear,3449117392.0000005
VFC,V.F. Corporation,Consumer Non-Durables,Apparel/Footwear,26683719633
GIII,"G-III Apparel Group, LTD.",Consumer Non-Durables,Apparel/Footwear,1453583534
COLM,Columbia Sportswear Company,Consumer Non-Durables,Apparel/Footwear,6584828491
JRSH,"Jerash Holdings (US), Inc.",Consumer Non-Durables,Apparel/Footwear,89201082.99999999
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel/Footwear,43543342.00000001
UA,"Under Armour, Inc.",Consumer Non-Durables,Apparel/Footwear,9376565416
NKE,"Nike, Inc.",Consumer Non-Durables,Apparel/Footwear,236813947417
HBI,Hanesbrands Inc.,Consumer Non-Durables,Apparel/Footwear,6518662889.000001
PVH,PVH Corp.,Consumer Non-Durables,Apparel/Footwear,7849774840.999999
CAL,"Caleres, Inc.",Consumer Non-Durables,Apparel/Footwear,892411207.9999999
WWW,"Wolverine World Wide, Inc.",Consumer Non-Durables,Apparel/Footwear,2667036796
SGC,"Superior Group of Companies, Inc.",Consumer Non-Durables,Apparel/Footwear,381717433
SKX,"Skechers U.S.A., Inc.",Consumer Non-Durables,Apparel/Footwear,6920969862.999999
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Apparel/Footwear,10753908246
VNCE,Vince Holding Corp.,Consumer Non-Durables,Apparel/Footwear,103521530
VRA,"Vera Bradley, Inc.",Consumer Non-Durables,Apparel/Footwear,333749241.99999994
KTB,"Kontoor Brands, Inc.",Consumer Non-Durables,Apparel/Footwear,3035431595.9999995
DBGI,"Digital Brands Group, Inc.",Consumer Non-Durables,Apparel/Footwear,31348882
CROX,"Crocs, Inc.",Consumer Non-Durables,Apparel/Footwear,9750858901
XELB,"Xcel Brands, Inc",Consumer Non-Durables,Apparel/Footwear,32534523
RCKY,"Rocky Brands, Inc.",Consumer Non-Durables,Apparel/Footwear,362988967
LEVI,Levi Strauss & Co,Consumer Non-Durables,Apparel/Footwear,10204998596
ANF,Abercrombie & Fitch Company,Retail Trade,Apparel/Footwear Retail,2362708377
BOOT,"Boot Barn Holdings, Inc.",Retail Trade,Apparel/Footwear Retail,2837293466
BURL,"Burlington Stores, Inc.",Retail Trade,Apparel/Footwear Retail,20341623896.000004
ROST,"Ross Stores, Inc.",Retail Trade,Apparel/Footwear Retail,41218897730
VSCO,Victorias Secret & Co.,Retail Trade,Apparel/Footwear Retail,5323444572
LE,"Lands' End, Inc.",Retail Trade,Apparel/Footwear Retail,841016155.0000001
BEBE,"bebe stores, inc.",Retail Trade,Apparel/Footwear Retail,115867001
POSH,"Poshmark, Inc.",Retail Trade,Apparel/Footwear Retail,1822351095
JILL,"J. Jill, Inc.",Retail Trade,Apparel/Footwear Retail,164446278.00000003
PLCE,"Children's Place, Inc. (The)",Retail Trade,Apparel/Footwear Retail,1224510054.0000002
OG,Onion Global Limited,Retail Trade,Apparel/Footwear Retail,632774067
SCVL,"Shoe Carnival, Inc.",Retail Trade,Apparel/Footwear Retail,950223855
FL,"Foot Locker, Inc.",Retail Trade,Apparel/Footwear Retail,5006644272.999999
ZUMZ,Zumiez Inc.,Retail Trade,Apparel/Footwear Retail,1040801024.0000002
SFIX,"Stitch Fix, Inc.",Retail Trade,Apparel/Footwear Retail,4684734983
RL,Ralph Lauren Corporation,Retail Trade,Apparel/Footwear Retail,8563814944.000001
DXLG,"Destination XL Group, Inc.",Retail Trade,Apparel/Footwear Retail,401632390
MOGU,MOGU Inc.,Retail Trade,Apparel/Footwear Retail,104760336
CRI,"Carter's, Inc.",Retail Trade,Apparel/Footwear Retail,4295921339
CATO,Cato Corporation (The),Retail Trade,Apparel/Footwear Retail,389946109
DBI,Designer Brands Inc.,Retail Trade,Apparel/Footwear Retail,1008858583
CHS,"Chico's FAS, Inc.",Retail Trade,Apparel/Footwear Retail,598859225
CTRN,"Citi Trends, Inc.",Retail Trade,Apparel/Footwear Retail,719328265
TPR,"Tapestry, Inc.",Retail Trade,Apparel/Footwear Retail,11032036951
URBN,"Urban Outfitters, Inc.",Retail Trade,Apparel/Footwear Retail,3138790792
BKE,"Buckle, Inc. (The)",Retail Trade,Apparel/Footwear Retail,2132222360
AEO,"American Eagle Outfitters, Inc.",Retail Trade,Apparel/Footwear Retail,4720708313
SECO,Secoo Holding Limited,Retail Trade,Apparel/Footwear Retail,96652707
GPS,"Gap, Inc. (The)",Retail Trade,Apparel/Footwear Retail,9028471543.999998
JWN,"Nordstrom, Inc.",Retail Trade,Apparel/Footwear Retail,4673921938.000001
EXPR,"Express, Inc.",Retail Trade,Apparel/Footwear Retail,352304078
TLYS,"Tilly's, Inc.",Retail Trade,Apparel/Footwear Retail,469928587
CPRI,Capri Holdings Limited,Retail Trade,Apparel/Footwear Retail,7989880506.999999
BBWI,"Bath & Body Works, Inc.",Retail Trade,Apparel/Footwear Retail,17816091241
TJX,"TJX Companies, Inc. (The)",Retail Trade,Apparel/Footwear Retail,85500542867
LAZR,"Luminar Technologies, Inc.",Producer Manufacturing,Auto Parts: OEM,5759458472.999999
ADNT,Adient plc,Producer Manufacturing,Auto Parts: OEM,3836546917
SRI,"Stoneridge, Inc.",Producer Manufacturing,Auto Parts: OEM,552234996
OMTK,Omnitek Engineering Corp.,Producer Manufacturing,Auto Parts: OEM,1717215
MTOR,"Meritor, Inc.",Producer Manufacturing,Auto Parts: OEM,1543854113.0000002
LIQT,"LiqTech International, Inc.",Producer Manufacturing,Auto Parts: OEM,123042156.00000001
HYLN,Hyliion Holdings Corp.,Producer Manufacturing,Auto Parts: OEM,1552617475
VC,Visteon Corporation,Producer Manufacturing,Auto Parts: OEM,2786399083
LEA,Lear Corporation,Producer Manufacturing,Auto Parts: OEM,9292771652
APTV,Aptiv PLC,Producer Manufacturing,Auto Parts: OEM,40854757719
MOD,Modine Manufacturing Company,Producer Manufacturing,Auto Parts: OEM,588431889
SYPR,"Sypris Solutions, Inc.",Producer Manufacturing,Auto Parts: OEM,78816181.99999999
MPAA,"Motorcar Parts of America, Inc.",Producer Manufacturing,Auto Parts: OEM,370909730.00000006
AYRO,"AYRO, Inc.",Producer Manufacturing,Auto Parts: OEM,130999559
GTX,Garrett Motion Inc.,Producer Manufacturing,Auto Parts: OEM,467797075
WARM,"Cool Technologies, Inc.",Producer Manufacturing,Auto Parts: OEM,28368050
CPS,Cooper-Standard Holdings Inc.,Producer Manufacturing,Auto Parts: OEM,400604809
SUP,"Superior Industries International, Inc.",Producer Manufacturing,Auto Parts: OEM,196850276
DAN,Dana Incorporated,Producer Manufacturing,Auto Parts: OEM,3360594472.0000005
STRT,STRATTEC SECURITY CORPORATION,Producer Manufacturing,Auto Parts: OEM,150304522.99999997
CAAS,"China Automotive Systems, Inc.",Producer Manufacturing,Auto Parts: OEM,102427895
TEN,Tenneco Inc.,Producer Manufacturing,Auto Parts: OEM,1164778326.0000002
GNTX,Gentex Corporation,Producer Manufacturing,Auto Parts: OEM,7933275341
REE,REE Automotive Ltd.,Producer Manufacturing,Auto Parts: OEM,1657586303.9999998
HLLY,Holley Inc.,Producer Manufacturing,Auto Parts: OEM,1440696258
VNE,"Veoneer, Inc.",Producer Manufacturing,Auto Parts: OEM,3903476706.999999
UFAB,"Unique Fabricating, Inc.",Producer Manufacturing,Auto Parts: OEM,33737551
ALV,"Autoliv, Inc.",Producer Manufacturing,Auto Parts: OEM,7763141365
THRM,Gentherm Inc,Producer Manufacturing,Auto Parts: OEM,2735254669
WKHS,"Workhorse Group, Inc.",Producer Manufacturing,Auto Parts: OEM,932092385.0000002
CXDC,China XD Plastics Company Limited,Producer Manufacturing,Auto Parts: OEM,32452469
AXL,"American Axle & Manufacturing Holdings, Inc.",Producer Manufacturing,Auto Parts: OEM,991068622
LKQ,LKQ Corporation,Consumer Durables,Automotive Aftermarket,15498820604
XPEL,"XPEL, Inc.",Consumer Durables,Automotive Aftermarket,2236068313
SMP,"Standard Motor Products, Inc.",Consumer Durables,Automotive Aftermarket,959486838
HZN,Horizon Global Corporation,Consumer Durables,Automotive Aftermarket,199313605
AMTY,Amerityre Corp.,Consumer Durables,Automotive Aftermarket,5478590
GT,The Goodyear Tire & Rubber Company,Consumer Durables,Automotive Aftermarket,5049211153
DORM,"Dorman Products, Inc.",Consumer Durables,Automotive Aftermarket,3075660925
VWE,"Vintage Wine Estates, Inc.",Consumer Non-Durables,Beverages: Alcoholic,647543832.9999999
WVVI,"Willamette Valley Vineyards, Inc.",Consumer Non-Durables,Beverages: Alcoholic,62850937
NBEV,"NewAge, Inc.",Consumer Non-Durables,Beverages: Alcoholic,195606890
SAM,"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Beverages: Alcoholic,6320088951
CWGL,Crimson Wine Group Ltd.,Consumer Non-Durables,Beverages: Alcoholic,193708001
BF.A,Brown Forman Inc,Consumer Non-Durables,Beverages: Alcoholic,32141137185
STZ,"Constellation Brands, Inc.",Consumer Non-Durables,Beverages: Alcoholic,40777962704
TAP,Molson Coors Beverage Company,Consumer Non-Durables,Beverages: Alcoholic,10113998912.999998
BRFH,Barfresh Food Group Inc.,Consumer Non-Durables,Beverages: Non-Alcoholic,68649548
BRSF,"Brain Scientific, Inc.",Consumer Non-Durables,Beverages: Non-Alcoholic,7166721.75536881
PEP,"PepsiCo, Inc.",Consumer Non-Durables,Beverages: Non-Alcoholic,213122127276
REED,"Reeds, Inc.",Consumer Non-Durables,Beverages: Non-Alcoholic,58120905.99999999
WTER,The Alkaline Water Company Inc.,Consumer Non-Durables,Beverages: Non-Alcoholic,154996212
CCEP,Coca-Cola Europacific Partners plc,Consumer Non-Durables,Beverages: Non-Alcoholic,25670327031.000004
FTFT,Future FinTech Group Inc.,Consumer Non-Durables,Beverages: Non-Alcoholic,148542342
KO,Coca-Cola Company (The),Consumer Non-Durables,Beverages: Non-Alcoholic,232804797363
COKE,"Coca-Cola Consolidated, Inc.",Consumer Non-Durables,Beverages: Non-Alcoholic,3656314033
KDP,Keurig Dr Pepper Inc.,Consumer Non-Durables,Beverages: Non-Alcoholic,48015837889
JSDA,Jones Soda Co.,Consumer Non-Durables,Beverages: Non-Alcoholic,63761423.00000001
FIZZ,National Beverage Corp.,Consumer Non-Durables,Beverages: Non-Alcoholic,4848924938
CELH,"Celsius Holdings, Inc.",Consumer Non-Durables,Beverages: Non-Alcoholic,7347679742.000001
ZVIA,Zevia PBC,Consumer Non-Durables,Beverages: Non-Alcoholic,793435214
MNST,Monster Beverage Corporation,Consumer Non-Durables,Beverages: Non-Alcoholic,49048868261.00001
TXG,"10x Genomics, Inc.",Health Technology,Biotechnology,17094131344
JNCE,"Jounce Therapeutics, Inc.",Health Technology,Biotechnology,419590296.00000006
LRMR,"Larimar Therapeutics, Inc.",Health Technology,Biotechnology,220140889.00000003
AMTI,Applied Molecular Transport Inc.,Health Technology,Biotechnology,1052451407.0000002
RANI,"Rani Therapeutics Holdings, Inc.",Health Technology,Biotechnology,886010089
CGEN,Compugen Ltd.,Health Technology,Biotechnology,522156103
CYDY,CytoDyn Inc.,Health Technology,Biotechnology,1512051036.0000002
AFMD,Affimed N.V.,Health Technology,Biotechnology,744646303.0000001
VCNX,"Vaccinex, Inc.",Health Technology,Biotechnology,69302496
XBIT,XBiotech Inc.,Health Technology,Biotechnology,435015932
RUBY,"Rubius Therapeutics, Inc.",Health Technology,Biotechnology,1669794202.0000002
NLTX,"Neoleukin Therapeutics, Inc.",Health Technology,Biotechnology,308430271
URGN,UroGen Pharma Ltd.,Health Technology,Biotechnology,379053270
BCAB,"BioAtla, Inc.",Health Technology,Biotechnology,1031462530.0000002
AADI,"Aadi Bioscience, Inc.",Health Technology,Biotechnology,662687988
PRLD,Prelude Therapeutics Incorporated,Health Technology,Biotechnology,1629421678
SNDX,"Syndax Pharmaceuticals, Inc.",Health Technology,Biotechnology,914199017.0000002
SANA,"Sana Biotechnology, Inc.",Health Technology,Biotechnology,4067835263
NVAX,"Novavax, Inc.",Health Technology,Biotechnology,18483989760
SELB,"Selecta Biosciences, Inc.",Health Technology,Biotechnology,497142562
TWST,Twist Bioscience Corporation,Health Technology,Biotechnology,5526129978.999999
AKYA,"Akoya BioSciences, Inc.",Health Technology,Biotechnology,584132000
MRKR,"Marker Therapeutics, Inc.",Health Technology,Biotechnology,147880038
HSTO,Histogen Inc.,Health Technology,Biotechnology,33078784
AGEN,Agenus Inc.,Health Technology,Biotechnology,1375376394
XENE,Xenon Pharmaceuticals Inc.,Health Technology,Biotechnology,619884234
GLUE,"Monte Rosa Therapeutics, Inc.",Health Technology,Biotechnology,1107600206.9999998
PRTA,Prothena Corporation plc,Health Technology,Biotechnology,3392973997.0000005
ZNTL,"Zentalis Pharmaceuticals, Inc.",Health Technology,Biotechnology,2795082095
IMCR,Immunocore Holdings plc,Health Technology,Biotechnology,1522004345
MTCR,"Metacrine, Inc.",Health Technology,Biotechnology,98675334.00000001
TTOO,"T2 Biosystems, Inc.",Health Technology,Biotechnology,162213727
